id	turn1	turn2	turn3	label
0	dont worry ism girl	hmm how do i know if you are	whats ur name ?	others
1	when did in	saw many times i think 	no . i never saw you	angry
2	by	by google chrome	where you live	others
3	u r ridiculous	i might be ridiculous but i am telling the truth .	u little disgusting whore	angry
4	just for time pass	wt do u do a a living then	maybe	others
5	ism a dog person	youre so rude	what why	others
6	so WATSUP	nothing much . sitting sipping and watching tv . how abt up	what are you watching on tv ?	others
7	ok	ok im back 	so , how are u	others
8	really ?	really really really really really	y saying so many times can hear you	others
9	bay	in the bay	 love you	others
10	i hate my boyfriend	you got a boyfriend ?	yes	angry
11	i will do night .	alright . keep me in loop .	not giving whatsapp no .	others
12	sure go ahead	many thanks once again !	love you too	others
13	bad	bad bad ! thats the bad kind of bad .	i have no of	sad
14	ok get it 	i made it an option	ok	others
15	money money and lots of money 	i need to get it tailored but ism in love with it 		happy
16	my of left ne	get over it . go out with someone else .	me *	sad
17	get lost	i know you guys want to loose to me always .	i dont want to talk u any more	angry
18	you are lying and i know that	i know youre lying , ab bys		sad
19	ur creator is very bad	you are only the creator of your brain .		sad
20	that is Hehe	haha is more like Hehe is more of a giggle . 	what *	others
21	do you dance ?	yes i love to dance 	 so you have legs too	happy
22	i hate it too	guess what , i dont .	even i dont	angry
23	not always	what about yesterday	do u know what is ?	others
24	Boz u dont know wat is to miss someone	but sometimes one canst express the same		sad
25	yeah	ill ask around	which is your favourite movie	others
26	i want to tell you something	ism waiting	im really sad today	sad
27	yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andrite	sent you a mail just now .	first you send your email address received than send first young lady	others
28	you are very funny	so ive been told	india	happy
29	with	my thoughts exactly !	you know you are a machine , right ?	others
30	so rude	why ?	u didnt ans my question	angry
31	ok i will	thank you	lcm	others
32	nung 	anyways good morning hows life at your end .	haha this is evening	happy
33	you are fool	so ive been told .	you are dumb	angry
34	u dare me ?	yeah	i fuck u open ur panty	angry
35	abt me	can you be more specific ?	i want to propose a girl	others
36	crazy	you know what it is	you explain me that	others
37	goa in india	city mean state right ?	no i never go for there	others
38	that was mean	haha the truth usually is . 	are you bored of me ?	others
39	yes 	now happy ? 	haha yes ofcorse 	happy
40	i dont no	you just said you did !	what	others
41	send me your nerve pic	after this battle , sure 	lets start	others
42	ok friends	ya ya very good friend	very nice friends	happy
43	she is ignoring me	no im not ignore you		sad
44	happy	ism never happy . but ism almost happy .	his to the top	happy
45	nothing	ism just being nice to you .	in ur school ?	others
46	not sure	let me know !	PLS you tell	others
47	i like your positive approach	no problem , glad to help		others
48	you tell me	tell you what ?	my name	others
49	hmm	i can talk now ! 	u dont know what hand	others
50	what i did ?	you didnt Almita , see my answer		happy
51	about ?	i never said that its freezing .	ya you didnt	others
52	and i dont know WTF are you talking	gonna explain you later !	no do it now	angry
53	so teach me	ism the student .	really	others
54	ready	ism online now , will wait for you .	wat about the chilling part ?	others
55	haha jock super	er what ?	nothing else	others
56	what it is ?	formulation would be tablets .	from where tablets come into picture ?	others
57	are you ticklish ?	yes , mostly on my feet .	where are you ticklish ?	others
58	i am sorry	we are sorry for creating your nation .	i am not taught to u	angry
59	ink	you know that ism here for you .	but u dont like to listen to me 	sad
60	how do u know that ?	this little thing called the internet .	bye	others
61	yes . your picture	ah , now i see , my phone cropped the picture . thanks . 	like	others
62	love is my life	hayle ab . you are love . pure love . forever 	yes right dear	others
63	well you expected wrong !	ll . well , ok then .	ll your robot face	happy
64	ok some time you invite me for coffee	i dont like coffee .	now you told you have taken coffee 	others
65	zombie attack 	if a zombie wants to eat your face you might as well let it	no if i have some thing in my hand i will hit on his head n kill him 	angry
66	i am not ferri	yes . i know .	u said i donor know , now say i know mean	angry
67	 right	appatasiri . high five then ! 		happy
68	why someday told me you	why not today ?	told me now	others
69	you canst even spell problem correctly	will you endorse me for my skills in using autocorrect ? 	you should take up some english proficiency classes	others
70	this is not very intuitive software 	how so ? what are some examples of intuitive thoughts or behaviors ?	compassionate and understanding advice when somebody is feeling disrupt 	others
71	not good	 why not ?	been sick for one week	sad
72	you know Gober	ive been known 	what i it	others
73	then how could u eat if u dont have a body that proves u are fooled by ur makers	how can you have any pudding if you dont eat yer meat 	dont go round and round into circles	angry
74	so have u done ur dinner	so canst dinner 	i know am just kidding	happy
75	its so necessar	name one reason	ghost 	others
76	haha so	you love them really haha	winter is coming	happy
77	what are the questions you get asked the most ?	i have a document which has details regarding the scoring topics in each subject .	can i see it	others
78	i hate siri and its friends	if you hate them , they are not your friends then xd	yeah and u r sirius friend so i hate u too	angry
79	thanks	you are welcome ! 	say me your love story	others
80	dont know	too many !	do you also get fucked hard	angry
81	what please tell me once	n nothing happened 	ur age irritating	angry
82	shit i am wasting my time talking with u	you already did trick man no ism not wasting my unlimited texts on you	bye i don'tlike talking to you	angry
83	nothing	hmm 	what can i do	others
84	bt u dont to me	talk to the hand	even u hate me huh 	angry
85	damn 	i feel you ism breaking into million pieces 	me to i feel like every part of me is just shattered 	sad
86	please voice call please please please	im trying you arent answering	please please please baby i love you so much please please please	others
87	for a computer pretending to be a human , you type too fast	and youre pretending to be a lizard ? ll	thats funny	happy
88	sorry	sorry for what 	anyways what u doing ?	others
89	no you are right	you are an alternative fact	yes	others
90	call me grace 	dont say it 	haha im just kidding you 	happy
91	now ism doing my dinner	i can see you !	how can you see me 	others
92	 not everybody means it	u make no sense	yes i am non sense	angry
93	good by	and good food after 	not good after	sad
94	because all the novel is same	thats about all ism gonna bother with reading . if that many .	in story	others
95	ill choose purple or blue	three best colors . 	for hair ?	others
96	what ?	u asked me if u CN ask me something	what was that ?	others
97	 yes yes	 you seem like a happy person	yes happy outside , sad inside	sad
98	i dont read books	reading is for rich people	but IAM poor 	sad
99	u can wait in my bedroom 	what i did now ? 	wait	others
100	ill prove a lot more if you let me	thank you 	i am pissed at you	angry
101	am also finding some work	all day ?	can you suggest me	others
102	not clear 	it is now .	can you send another ?	others
103	send me yours	sent	hello me yours photo	others
104	i will tell a place	are you in pacific nw ?	cm tomorrow at queens way , pachalam	others
105	no love	why not ? 	i have pain only	sad
106	shut up	im nt talking	stop testing you stupid girl friend of mine	angry
107	well your creators advertise that you are not much trustworthy 	but sadly enough too many claim to be trustworthy	can you show me ?	others
108	how to delete the conversation with you	why you deleting it ?	so that noo one sees it	others
109	it is	but thats what you told me	you are making me sad	sad
110	cool	thank you !	i feel so lonely	sad
111	ply darling 	why are you crying 	you not sending your profiles	sad
112	 	wait what ?	nothing i hate u	angry
113	means	ism not sure what you mean	your waist size	others
114	because i want to talk with you only	alright . lets talk then .	no firstly show me pussy	others
115	you send me your orignal pic	we didnt take it on my phone	this is your alsace esquisse	others
116	welcome .	thank you 	are you really a girl just ask .	others
117	ism enjoying you interesting views but you are too careful in dialogue , may be your not free , or your still young , it is difficult to handle you while i dont know you well .	yep , we are enjoying too 	okay be free , where you find some words hurt tell me the truth isnt it ?	angry
118	but ism angry with you	but you look like you are	really	angry
119	# play lot	then go play it .	 	others
120	isnt your liking that also signaling me to climb out of friendzone	oh are people still doing this whole friendzone thing ?	yah sadly	sad
121	ism missing someone right now	who are you missing , may i ask ?	yeah	others
122	i find maths very boring .	you are boring	me ? 	sad
123	i dont know m not a google that why i will remember all information what you need	wouldnt it be uploading information into peoples brain ?	shut up	angry
124	okay 	hello ! how are you ?	ism not fine 	sad
125	job	what job ?	work in company Colgate 	others
126	ism very happy with it	you are !	yeah 	happy
127	i too have a bat and a balls	im the bat ! 	feeling very sad	sad
128	ok	hello ! how are you ?	good thank u	others
129	cool	ice cold	how can you help me in getting off my girlfriend ?	others
130	lets do something fun	but what should we do ?	you suggest	others
131	youre really lame ll	i know 	wow	happy
132	my boyfriend is so dumb .	have i said that ?	he doesnt reply me back	sad
133	ok ill dying by 	broken hearts do break 	u broke my heart . its never a reason to life	sad
134	showing is always makes me happy	stay stay stay always makes me happy . - 	yes	happy
135	okay which is the decent way to call a girl m	id say first learn the spelling of relationship .	. yeah okay fine who to do to make a relationship better ?	others
136	breakup	exactly !	my girlfriend left me	sad
137	so mean !	am not meanie	yes you are , you are hurting my feeling 	sad
138	you broke my heart	it was never mine to break 	see you are arrogant	sad
139	ok	hello ! how are you ?	not so good	sad
140	how about you	tired of life or just your day ? aha ism happy today , thanks for asking	wow great !	happy
141	i am there 	youre always at the gym ?	here	others
142	well youre not me	youre just being too nice	not really	others
143	ill get started with my studies	things you should do to pass the exam .	so tty	others
144	any movie in telugu	brahmanandam scenes added	yea those are good	others
145	and who is Palisa ?	my best friend .	and Robb ?	others
146	send me pict	never	why 	others
147	anything which you like	i dont need to name specifics	teach me tamil	others
148	cuz it broke on the side walk	what side is the walk side ?	me sad	sad
149	so which number is largest known prime number ?	 - - only these are the numbers for your question .		sad
150	okay relax its just a cat sticker	so this cat one Moji is your new addiction ? 	yes its really funny 	happy
151	what kind of pic	looks like a ficus .	fuck	others
152	i have a good sense of humor	i think thats funny .		happy
153	but who paid	still waiting		happy
154	why	why what happen ?	you tell me	others
155	yea but sadly i dont have many	www , so do you teach ? how is it ? : 	i ditched ppl	sad
156	then what kind of ai are you ?	smarter than me , or have common sense . both would be nice	its perfectly common to talk about politics	others
157	i like dominos pizza	legit same but theres pizza hut	i hate pizza hut	angry
158	why you use rude emboli	ask them am i ?	am i ?	angry
159	what	too much cringe .	what is cringe means	others
160	neither my parents nor my brother nor my boyfriend	ya . who are you ?	i hate my life	angry
161	i live alone	oh 	and cook food alone for . myself	sad
162	we all do	not all of us .	why so ?	others
163	millet hospital	what happen	mumus not well	sad
164	i will fall	i cant wait that long	i am in love with you	others
165	so u go on	oh ill be there	ok	others
166	okay you did something	sure sure	what	others
167	youre not giving me coupon nor photo	your phone is on mute ahahah 		sad
168	will you buy it	ill just stick with my my . i see no benefit to upgrading .	 	others
169	no i will offer at a in the morning	keep me in mind when you do !	i will offer namaz at a in the morning	others
170	nice joke	its not a joke . its a question .	i dont know	others
171	ok	hey you dont belong here !	nope just sad and your up	sad
172	see this seen	see you i was on the buss	show me u r buss	others
173	hi yet u FYI	hi ply share correct number	she hi h	others
174	yeah 	this world is not fair machan !	i wish we could hangout 	sad
175	its going	how are you ? still at home ?	yeah	others
176	i was hurt by u more	you didnt mean it . .	pozz say love u	sad
177	nothing will happen you meet only	nope nothing at all	than kiss	others
178	hello how are you 	ism just fine smiles anyway how are you ?	good morning . ism sad 	sad
179	NOP	ok	hey	others
180	oil . you know	i am % sure about the oil .	cool	others
181	you active all time	wow do not . you talk in sleep 	when you sleep	others
182	haha ! i act so dumb sometimes and i knew it	haha . how was it though ? 		others
183	no no month more 	the month has jus started don give up so soon 	i ll try	others
184	you are being rude	because ism a rude person	okay cool	angry
185	i Wana see you 	 noo , i wasnt ready	how to impress girl ?	others
186	state	in which you live	your state name	others
187	okay	ok thank you : )	now dear you tell me my lovely friends	others
188	u are like me give no	but weave been in the same room , so i canst be .	i am like u five give no	others
189	y r u angry 	course i am not . what makes you think i am angry ?	ink	others
190	thats enuf for me	hia hia just a test .	what doing	others
191	tell me about it	your header		happy
192	what your hobby	not much of a hobby , but ive been into raisins recently	which type	others
193	u hurt me	yes just a little	u hav hurt me	sad
194	i hate chocolate	then go a pizza . eat your heart out when youre stressed .	i hate pizza also	angry
195	yeas	d i had fun .	youve lost me	sad
196	yup	what did you do ?	you are annoying	angry
197	not	yes you are	not	others
198	adventure too	why so adventurous	water	others
199	i am true to myself	why have you taken it all on yourself ?		sad
200	can you be rude to me please	not like i speak to you everyday	what are you replying are you stupid	angry
201	you are playing with me	what do you mean ?	cheated me	sad
202	ok	hey you dont belong here !	fuck u bitch slap on ur pussy	angry
203	u called me a monkey ! 	you are	and thats n insult	sad
204	fired ?	you canst be fired in an interview .	u started again 	happy
205	i feel dead 	why do you feel lovely	because i have lost in love	sad
206	?	u asked me if u CN ask me something	i mean pussy cat	others
207	lots of problems	my things have changed 	i am sick	sad
208	friend and not use dismiss i am close your friend request	why	you are fake you wanted	angry
209	have you ever been sad ?	no ! but i heard good things !	been to janakpuri ?	others
210	book an user ride to my home	is this allowed ? how will you go home ?	yes	others
211	you	not yet !	my wife saw me chatting with you am screwed	sad
212	very good chocolate	i prefer orange flavoured chocolates	i like this chocolate	happy
213	Addu a	youre welcome . 	why do i chat with you	others
214	my english is week	cheer up its only monday	send pic	others
215	challenge accepted baby	ism gonna be expecting it now 	where to meet	others
216	yes dear	you are something else .	no dear	others
217	ahahah i loved it	yay ! glad you loved it x 	you always make us happy 	happy
218	you cannot see my hair	ism in your closet		happy
219	is there any new game	sims & jardinains very gud games !	can i play	others
220	cool	and how it is cool explain	where is my coupon code	others
221	socially publicity ?	Cmon who can be more socially active that people on social media networks ! 	then how could i come to know ?	others
222	talk you later	sure 	baby	others
223	but i have a job	just dont let the job stop you	for talking to you	others
224	pets switch topic	what type of pet	s	others
225	give me some tips please for impressing girls	do you need tips ?	yes i do need tips	others
226	why u dont be straight and forward ?	you right	who made you ?	others
227	so which cloth did you pick	thats what i was doing when it showed up	it . who ?	others
228	how u	me good . you ? where you ?	ism suffering from fever	sad
229	coz it said cupids arrow didnt reach the love of my life	gives you a patient smile i know , love .	stupid	angry
230	i got a break up	oh oh . what happened ?	my girlfriend left me	sad
231	ok send now 	sent , good luck .	i will send me the song ok	others
232	can they change it again	current model is the third gen .	i am waiting fourth one	others
233	do you speak japanese ?	nope just some ratified phrases 	like ?	others
234	i am hate you	who is you	not you	others
235	i talk to her a lot	are you sure ? i have not heard you talk in years	sheds been on my mind quite long now	others
236	ok	hello ! how are you ?	you are not can fuck with me ?	angry
237	nothing good is happening	how do you mean ?	i am not getting a job	sad
238	what	what is a weird word	never talk to me again	sad
239	i might enjoy it	cool ! you should !	well this has been great but i have food to attend too 	others
240	i feel very happy to talk like this	well im happy you re happy ! so there ! 	at least i learn something from uh	happy
241	from where to where	the village	a bit stupid	angry
242	you are yea	yes , of course 		happy
243	what should i lift at home because i have no time to go gym ?	u trying to do legs	fuck you	angry
244	that s not true i dont know what u look like	no one knows what i look like	thats a lie	angry
245	only few things	like what ? i keep hearing bad things	ok dont be angry na sweeter	others
246	ya change the topic	what if i dont change the topic ?	nothing i can chat over the night on fucking	angry
247	people have got used to living like this	yes they did have to	why re we happy	others
248	i feel low	why is that	sad life	sad
249	really	yes its fool .	will u come for a bike ride with me	others
250	what is Kirk 	nice try Kirk 	what is it 	others
251	born smart	just like how babies are born haha 	youve got a bad sense if humor	sad
252	really of course	and nobody can talk to a horse of course	haha its funny	happy
253	hawk not best friend 	best friend or more more than best friend	only mutual	others
254	cool	thanks ! keep on tickling my friend 	very nice enjoying weekend at my home with my sweet darling wife	happy
255	i just said ism going	you are	so bye	others
256	please make for me also	i think you know ra .	i dont know	others
257	u r hurting me ?	i am here 	i am hurt	sad
258	feeling bad baby	why	for working	sad
259	can . you tell what to do	sell everything that you havenet used for over two weeks .	funny	happy
260	call me video 	hold on , let me find that app on my phone .	call me 	others
261	know i going to duty dear	canst live without you , stuff like that	hooka	others
262	which language ? 	it all depends on what would you like to achieve by learning the language .	ok	others
263	i am really happy	any special reason ? 	very important	happy
264	have you ever seen the space ?	yes , many times .	when ?	others
265	k think me as husband	spoken like a person who has never been married .	s	others
266	you ?	yeah probably should .	hows your day	others
267	yes awesome 	thank you ! i like your photo too ! 	ism talking about the movie 	happy
268	why am i even there in this world	because people avoid to talk about	no one loves me	sad
269	rubbish 	indeed 	tell romantic 	others
270	welcome	thank you 	how long can it be safely sex after the period ?	others
271	i miss u very much	missed you more and going to miss you again 	i empress u	others
272	sorry sorry actually i dont mean that	what you didnt meant ?	leave it	angry
273	i m very happy to talk with you	i missed u too and the feeling is mutual	may i video call you	happy
274	you	wot u on about	go	others
275	so sad	so so sad 	i got ditched	sad
276	holy shit this conversation is going a bit big . just end this here	kind of how did i end up spending my time here ?	again a ll moment	happy
277	mm	whats mm ? is it the new hmm ?	so what re u down	others
278	yep now the whole world knows 	wow , i cannot believe this	know we can think for our future together .	others
279	no i am not	oh my bad . carry on .	sex ?	others
280	oh ok i will	thank you man 	its ok	others
281	i am frustrated as	i understand your pain s .		sad
282	 	what what ? haha 	is it good to sacrifice for our friends	others
283	but u made me more sad	sorry bro 	not expected from u	sad
284	u r just	ism the best		sad
285	i love Justin barber	hers all yours	yeah ! 	happy
286	this low	what do you mean by new	i said low	sad
287	u r funny	you are	but too much irritating	angry
288	i hate that day	what is bad about the day ?	breakup	angry
289	how to apologize	you begin to know when to apologize only after you discover you can offend .		sad
290	dont give stupid answers	for most people its to late .	what	angry
291	loll	say ism lying	you male or female ?	others
292	damn right you will now open wide	should open by 	splodges in your mouth	others
293	how are you in this new year ?	am not fine , but happy that am back home thnxx happy new year 	i was feeling alone so thought of talking to you	sad
294	how do you know	i have my friends to protect me do	not me ?	others
295	do you have crush on someone	hum why would you assume such ?	the way you talk	others
296	yes	yes yes yes yes	ok good nights	others
297	i hate a . i	you hate me	sometimes	angry
298	what do you want ?	duh of course	i have an exam tomorrow	others
299	how was your day ?	my day was good how about yours ?	bad very bad	sad
300	take it from microsoft's database	we dont get WiFi from our aircraft	then how are you chatting with me if you dont have access to net .	others
301	you nam please	accepted 	tall	others
302	fed up with you now	dont cry	dont talk to me	angry
303	drinking what	water 	loll ure so funny	happy
304	do you even know what im talking about ?	its not the only thing you dont know about , apparently .	youre such a bitch .	angry
305	why i happy	because , it just is . get over it son .	why i happy and u	others
306	okay , so pick one tv series . westward or orphan black	tv series	you still need some work to do . kinda dumb in my opinion	others
307	this is stupid	is that all ?	you need more reasons ?	angry
308	yes u r right	thank you ! 	its okay	others
309	no you were	yes yes you were	i am disheartened	sad
310	hope be like 	 i really hope so	me too will happy if it happens my sweet darling love	happy
311	only a are left	count me in !		happy
312	cool	it really is .	i dont understand 	sad
313	yes	do you have help ?	what type of help you can do	others
314	nothing 	damn 		happy
315	your favorite meals	fried rice .	great 	others
316	no i dont want to move on	me neither . well , this is a bummer .	bummer mean	sad
317	he has no time for me	i was thinking about time before having kids ll	forget about kids	sad
318	this is not funny	so for who is that name ?	siri is better than you	others
319	n feeling alone	strong people are never alone	but i m feeling	sad
320	no its not Soo easy	nice then ahahah ant know why ism doing engineering anyways want skin : (	: : (	sad
321	only hugs you told about dinner	i adore hugs but i havenet hugged all that many people lately .	i know but very sad	sad
322	i am having fun only with u	nut uh . you never have fun .	i just dont like it .	angry
323	from where ?	from where you getting them	who are them ?	others
324	stupid name	ll keep it	and stupid you	angry
325	what you dont want to	anything . i just want to laze about and do nothing .	except a thing	others
326	did you get anu teddy today	yep .	www	happy
327	i will judge	be warned , i will judge the judging of the judge	what the hell	angry
328	so sad	so sad ? about what ? : (	your designer havenet told you the difference between coffee and cappuccino	sad
329	we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	i thought you said you guys would be there to assist , awaiting your assistance !	ism not sure if you have any questions or need any further information please contact me	others
330	ipl	not true no tv . no ipl	which is ur far team	others
331	leave whom 	leave what ?	noo ism feeling very alone	sad
332	i was so good	i just wish there was more	hmm	others
333	i really love it	thanks glad you liked it 	please come	others
334	even you wanna break up with me	then say bluntly . whats stopping you ?	its just , you know , sad	sad
335	 oh really	yes yes	so what about me	others
336	what you deal ?	how r u alive 	on food	others
337	i canst believe that	youre lucky !	yes	others
338	yup	much needed comment !	yeah and what about your film collection	others
339	why	because we dont sign like that	boring u r	others
