id	turn1	turn2	turn3	label
0	then dont ask me  	youre a guy not as if you would understand  	im not a guy fuck off  	angry
1	mixed things such as   ?? 	the things you do .  .	have you seen minions   ?? 	happy
2	today ism very happy  	and ism happy for you   	i will be marry  	happy
3	noah bring me some  	left it there oops  	orb  	happy
4	it is thoo  	i said soon master .  .	he is pressuring me  	sad
5	wont u ask my age   ?? 	hey at least i age well !  !	can u tell me how can we get closer   ?? 	sad
6	i said yes  	what if i told you ism not ?  ?	go to hell  	happy
7	where i ll check  	why tomorrow ?  ?	no i want now  	sad
8	shall we meet  	you say - youre leaving soon anywhere you wanna go before you head ?  - .. ?	? ?	happy
9	lets change the subject  	i just did it . l .  . .	youre broken  	happy
10	your pic pp  	thank you x   	wc  	happy
11	not mine  	done for the day ?  ?	can my meet to sexy girl  	sad
12	i want to play the game  	if you just finished the game then you havent finished the game   .. .. 	#emojisong # 	happy
13	IAM sory  	why sorry !   ! 	i insult you  	sad
14	how much  	depends on how long your internet has been out   !! 	u have bf  	others
15	ok  	thank you . xd  . 	what about cortanan  	others
16	so the story ?  ?	yeah indeed   	tomorrow probably  	others
17	may be  	year i hope Soo   !! 	can you do complex calculations  	happy
18	so come on na want u so badly .  .. .	now youre tempting me to .  .	so why are you still away from my body   ?? 	angry
19	no you Arendt  	oh i am  	really ?   ? 	happy
20	are u a one 	ism the normal one , if you want  , 	what i want  	happy
21	but   .. 	then  	ism feeling nervous  	sad
22	send me any video or songs  	video or text  	s 	others
23	why  	why what  	how r u  	others
24	do it  	but why ?  ?	aah lack creativity at some extent  .. 	sad
25	yeah going out with the parson outside in the city or in the parc  	yeah dont live in the city   .. ..	so where do you live   	others
26	then go to sleep  	you never sleep  	i will  	sad
27	hers very depressed and i want to help him but how should i do it feels very bad seeing your best friend like this  .. 	dance to enjoy , not to please .  , .	oh  	happy
28	oh great  	yeah do you have any plans for today ?  ?	no i dont have any plan  	sad
29	i dont have plans for the weekend .  .	you did saturday with me but i see how it is  	what are you talking about ?  ?	angry
30	i dont know  	why what happen ?  .. ?	JST asking  	others
31	i didnt think so  	i did . you are evading  . 	what is the meaning  	others
32	really  	what ?  ?	i love you  	others
33	you  	how about ur family still single ?  .. ?	can you love mi  	others
34	you are also beautiful  	well thank you   :)	welcome  	happy
35	hell  	im already there oxo   	good night sweet dreams baby  	happy
36	you are computerised for talk too fast  	actually my not fast , my phone is   , :d	oh sorry  	happy
37	really   	explain how  	hw to explain   	happy
38	thanks  	youre welcome   :d	i like reply instant ly  	sad
39	ok  	 tries to ignore pain : (  .. : (	where to go ?  ?	happy
40	show your tattoo  	i dont have one  	in that case will show you mine  ,, 	happy
41	get lost  	or else what ?  ?	i dont need this  	sad
42	so the u r body can get heat 	i heat more than that up   ;]	ok  	happy
43	seriously its boring sorry to say this  	its too late to apologize ?  ?	ply year pakka mat  	happy
44	why !  !	because they are bff's ?  ?	who are bff's  	others
45	make  	how  	i dont know i think u know  	sad
46	quite a while ago  	months ago  	weeks  	happy
47	sports   	til i need to watch more european sports like this .  .	youre an interactive search module right ?  ?	happy
48	u ar using what i want to buy to play   	ism using as well  	u think is funny eh and if you know u cannot get the dog for me dont joke with it and if you continue with this ur stinginess allah will judge you   	angry
49	u were offering something right ?  ?	i dont remember the wrong part   .. 	tell me the correct part  	happy
50	ism not talking to u anymore  	what i do ?  ?	clear ur glitch s  	others
51	do you study  	yes gig tty  	where are you from  	angry
